# Este fichero incluye todos los dataset multilingues con las etiquetas correctas.
text,sentence,annotation,aspect_cat,words,gold_labels
"['Falun', 'Sainte-Maure']",Falun de Sainte-Maure .,"['ASPECT', 'ASPECT']","['LAND_COVER', 'LOCATION']","['Falun', 'de', 'Sainte', 'Maure', '.']","['B-LAND_COVER', 'O', 'B-LOCATION', 'I-LOCATION', 'O']"
['Brachyodus onoideus'],"Brachyodus onoideus , sp .",['NULL_CAT'],['FAUNA'],"['Brachyodus', 'onoideus', ',', 'sp', '.']","['B-FAUNA', 'I-FAUNA', 'O', 'O', 'O']"
"['Gervais', 'vallée', 'Tage', 'Service géologique', 'Portugal']","Gervais , in Roman , Néogène conti- nental dans la basse vallée du Tage ( Service géologique du Portugal .","['ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']","['LOCATION', 'NAT_LANDFORM', 'NAT_LANDFORM', 'ORGANISATION', 'LOCATION']","['Gervais', ',', 'in', 'Roman', ',', 'Néogène', 'conti', 'nental', 'dans', 'la', 'basse', 'vallée', 'du', 'Tage', 'Service', 'géologique', 'du', 'Portugal', '.']","['B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'B-NAT_LANDFORM', 'B-ORGANISATION', 'I-ORGANISATION', 'O', 'B-LOCATION', 'O']"
['Lisbonne'],"Lisbonne , 1907 ) . 1908 .",['ASPECT'],['LOCATION'],"['Lisbonne', ',', '1907', '.', '1908', '.']","['B-LOCATION', 'O', 'O', 'O', 'O', 'O']"
['Brachyodus onoideus'],Brachyodus onoideus .,['NULL_CAT'],['FAUNA'],"['Brachyodus', 'onoideus', '.']","['B-FAUNA', 'I-FAUNA', 'O']"
"['Mayet', 'Mammifères miocènes', 'sables', 'rOrléanais', 'faluns', 'Touraine', 'VUniversité', 'Lyon']","Mayet , Mammifères miocènes des sables de rOrléanais et des faluns de la Touraine ( Annales de VUniversité de Lyon , fasc . 24 , p. 172 , pi , V , fig . 26 , 27 , 28 , 29 ; pi .","['ASPECT', 'NULL_CAT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']","['LOCATION', 'FAUNA', 'LAND_COVER', 'LOCATION', 'LAND_COVER', 'LOCATION', 'NAT_LANDFORM', 'LOCATION']","['Mayet', ',', 'Mammifères', 'miocènes', 'des', 'sables', 'de', 'rOrléanais', 'et', 'des', 'faluns', 'de', 'la', 'Touraine', 'Annales', 'de', 'VUniversité', 'de', 'Lyon', ',', 'fasc', '.', '24', ',', 'p', '.', '172', ',', 'pi', ',', 'V', ',', 'fig', '.', '26', ',', '27', ',', '28', ',', '29', ';', 'pi', '.']","['B-LOCATION', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'B-LAND_COVER', 'O', 'B-LOCATION', 'O', 'O', 'B-LAND_COVER', 'O', 'O', 'B-LOCATION', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Brachyodus onoideus', 'falun', 'Savi- gné-sur-Lathan', 'coquilles marines', 'marines']","La présence du Brachyodus onoideus^ dans le falun de Savi- gné-sur-Lathan — et celte présence n'est pas contestable , la pièce que nous figurons ici ayant ses racines encroûtées de débris de coquilles marines — est un fait important à signaler .","['NULL_CAT', 'ASPECT', 'ASPECT', 'NULL_CAT', 'ASPECT']","['FAUNA', 'LAND_COVER', 'LOCATION', 'FAUNA', 'BIOME']","['La', 'présence', 'du', 'Brachyodus', 'onoideus', 'dans', 'le', 'falun', 'de', 'Savi', 'gné', 'sur', 'Lathan', 'et', 'celte', 'présence', ""n'est"", 'pas', 'contestable', ',', 'la', 'pièce', 'que', 'nous', 'figurons', 'ici', 'ayant', 'ses', 'racines', 'encroûtées', 'de', 'débris', 'de', 'coquilles', 'marines', 'est', 'un', 'fait', 'important', 'à', 'signaler', '.']","['O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'B-LAND_COVER', 'O', 'B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'B-BIOME', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Paris', 'Muséum']","Paris , Muséum .","['ASPECT', 'ASPECT']","['LOCATION', 'HUM_LANDFORM']","['Paris', ',', 'Muséum', '.']","['B-LOCATION', 'O', 'B-HUM_LANDFORM', 'O']"
['Brachyopus'],Cette arrière-molaire supérieure est — croyons-nous — la seule pièce actuellement connue du Brachyopus des faluns .,['NULL_CAT'],['FAUNA'],"['Cette', 'arrière', 'molaire', 'supérieure', 'est', 'croyons', 'nous', 'la', 'seule', 'pièce', 'actuellement', 'connue', 'du', 'Brachyopus', 'des', 'faluns', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O']"
"['la faune paléomammalo- gique', 'faluns', 'Blésois', 'B. onoideus', 'sables', ""l'Orléanais"", 'Brachi/odns']","C'est pourquoi il a pu être indiqué dans la récente mono- graphie consacrée par l'un de nous à la faune paléomammalo- gique des faluns du Blésois , que le B. onoideus ne dépassait pas l'horizon géologique des sables de l'Orléanais ( Burdigalien ) . * Le genre Brachi/odns a été créé par M.","['NULL_CAT', 'ASPECT', 'ASPECT', 'NULL_CAT', 'ASPECT', 'ASPECT', 'NULL_CAT']","['FAUNA', 'LAND_COVER', 'LOCATION', 'FAUNA', 'LAND_COVER', 'LOCATION', 'FAUNA']","[""C'est"", 'pourquoi', 'il', 'a', 'pu', 'être', 'indiqué', 'dans', 'la', 'récente', 'mono', 'graphie', 'consacrée', 'par', ""l'un"", 'de', 'nous', 'à', 'la', 'faune', 'paléomammalo', 'gique', 'des', 'faluns', 'du', 'Blésois', ',', 'que', 'le', 'B', '.', 'onoideus', 'ne', 'dépassait', 'pas', ""l'horizon"", 'géologique', 'des', 'sables', 'de', ""l'Orléanais"", 'Burdigalien', '.', 'Le', 'genre', 'Brachi', 'odns', 'a', 'été', 'créé', 'par', 'M', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'B-LAND_COVER', 'O', 'B-LOCATION', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LAND_COVER', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Muséum', 'animal']","Muséum ) , provenant d'un animal de taille relativement forte .","['ASPECT', 'NULL_CAT']","['HUM_LANDFORM', 'FAUNA']","['Muséum', ',', 'provenant', ""d'un"", 'animal', 'de', 'taille', 'relativement', 'forte', '.']","['B-HUM_LANDFORM', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O']"
"['animal', ""d'Autriche"", 'France', 'sables', 'fluviatiles', ""l'Orléanais"", 'Brachyodus onoideus', 'MAMMIFflRES FOSSILES', 'FALUNS', 'TOURAINE', 'fossile', 'falun', 'sables', 'flu- viatiles', 'la transgression marine', 'marine', 'helvé- tienne']","Depéret pour un animal d'assez forte taille — voisine de celle d'un une actuel — du Burdigalien d'Autriche ( Eggenburg ) et de France ( sables fluviatiles de l'Orléanais ) , le Brachyodus onoideus . 40 MAMMIFflRES FOSSILES DES FALUNS DE LA TOURAINE Il vient naturellement à l'esprit qu'il puisse s'agir ici d'un fossile amené dans le falun par remaniement des sables flu- viatiles préexistants lors de la transgression marine helvé- tienne .","['NULL_CAT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'NULL_CAT', 'NULL_CAT', 'ASPECT', 'ASPECT', 'NULL_CAT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']","['FAUNA', 'LOCATION', 'LOCATION', 'LOCATION', 'BIOME', 'LOCATION', 'FAUNA', 'FAUNA', 'LAND_COVER', 'LOCATION', 'FAUNA', 'LAND_COVER', 'LAND_COVER', 'BIOME', 'NAT_PHENOMENON', 'BIOME', 'LOCATION']","['Depéret', 'pour', 'un', 'animal', ""d'assez"", 'forte', 'taille', 'voisine', 'de', 'celle', ""d'un"", 'une', 'actuel', 'du', 'Burdigalien', ""d'Autriche"", 'Eggenburg', 'et', 'de', 'France', 'sables', 'fluviatiles', 'de', ""l'Orléanais"", ',', 'le', 'Brachyodus', 'onoideus', '.', '40', 'MAMMIFflRES', 'FOSSILES', 'DES', 'FALUNS', 'DE', 'LA', 'TOURAINE', 'Il', 'vient', 'naturellement', 'à', ""l'esprit"", ""qu'il"", 'puisse', ""s'agir"", 'ici', ""d'un"", 'fossile', 'amené', 'dans', 'le', 'falun', 'par', 'remaniement', 'des', 'sables', 'flu', 'viatiles', 'préexistants', 'lors', 'de', 'la', 'transgression', 'marine', 'helvé', 'tienne', '.']","['O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'B-LOCATION', 'B-LAND_COVER', 'B-BIOME', 'O', 'B-LOCATION', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'B-LAND_COVER', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'B-LAND_COVER', 'O', 'O', 'O', 'B-LAND_COVER', 'B-BIOME', 'I-BIOME', 'O', 'O', 'O', 'B-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'B-BIOME', 'B-LOCATION', 'I-LOCATION', 'O']"
"['Savigné-sur-Lathan', 'Teleoceras hrachi/pus']","Longueur =61 millimètres ; largeur ^27 millimètres . 6 '' ^ Une M3 inférieure droite , trouvée à Savigné-sur-Lathan , FiG . i5 . — Teleoceras hrachi/pus .","['ASPECT', 'ASPECT']","['LOCATION', 'FAUNA']","['Longueur', '61', 'millimètres', ';', 'largeur', '27', 'millimètres', '.', '6', ""''"", 'Une', 'M3', 'inférieure', 'droite', ',', 'trouvée', 'à', 'Savigné', 'sur', 'Lathan', ',', 'FiG', '.', 'i5', '.', 'Teleoceras', 'hrachi', 'pus', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O']"
"['faune', 'faluns']","Nous rapportons plus volontiers . cette pièce à la faune propre des faluns , comme il sera indiqué plus loin .","['NULL_CAT', 'ASPECT']","['FAUNA', 'LAND_COVER']","['Nous', 'rapportons', 'plus', 'volontiers', '.', 'cette', 'pièce', 'à', 'la', 'faune', 'propre', 'des', 'faluns', ',', 'comme', 'il', 'sera', 'indiqué', 'plus', 'loin', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'B-LAND_COVER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Brachyodus onoideus', 'falunière', 'Savigné- sur-Lathan']","Il s'agit d'une première arrière-molaire supérieure droite de Brachyodus onoideus , trouvée dans une falunière de Savigné- sur-Lathan .","['NULL_CAT', 'ASPECT', 'ASPECT']","['FAUNA', 'LOCATION', 'LOCATION']","['Il', ""s'agit"", ""d'une"", 'première', 'arrière', 'molaire', 'supérieure', 'droite', 'de', 'Brachyodus', 'onoideus', ',', 'trouvée', 'dans', 'une', 'falunière', 'de', 'Savigné', 'sur', 'Lathan', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'O']"
['B. onoi- deus'],"Cette dent est assez fortement usée , mais pas assez pour qu'on n ' y puisse retrouver les principaux caractères des molaires de B. onoi- deus : Couronne presque quadrangu- laire^ toutefois un peu moins lon- gue que large ( ici , longueur = 3y millimètres , largeur = /j '' mil- limètres .",['NULL_CAT'],['FAUNA'],"['Cette', 'dent', 'est', 'assez', 'fortement', 'usée', ',', 'mais', 'pas', 'assez', 'pour', ""qu'on"", 'n', ""'"", 'y', 'puisse', 'retrouver', 'les', 'principaux', 'caractères', 'des', 'molaires', 'de', 'B', '.', 'onoi', 'deus', 'Couronne', 'presque', 'quadrangu', 'laire', 'toutefois', 'un', 'peu', 'moins', 'lon', 'gue', 'que', 'large', 'ici', ',', 'longueur', '3y', 'millimètres', ',', 'largeur', 'j', ""''"", 'mil', 'limètres', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Sa vigne'],"Le denticule intermédiaire de la rangée antérieure est le plus petit des cinq ; Sillon transversal , séparant les deux lobes antérieur et pos- térieur , peu profond ; Bourrelet basai continu , se détachant à l'angle antéro-ex- terne en un parastyle très accentué ( même sur cette pièce de Sa vigne , fortement usée ) .",['ASPECT'],['LOCATION'],"['Le', 'denticule', 'intermédiaire', 'de', 'la', 'rangée', 'antérieure', 'est', 'le', 'plus', 'petit', 'des', 'cinq', ';', 'Sillon', 'transversal', ',', 'séparant', 'les', 'deux', 'lobes', 'antérieur', 'et', 'pos', 'térieur', ',', 'peu', 'profond', ';', 'Bourrelet', 'basai', 'continu', ',', 'se', 'détachant', 'à', ""l'angle"", 'antéro', 'ex', 'terne', 'en', 'un', 'parastyle', 'très', 'accentué', 'même', 'sur', 'cette', 'pièce', 'de', 'Sa', 'vigne', ',', 'fortement', 'usée', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'O', 'O', 'O', 'O']"
"['B. onoideus', 'sables', 'LOr- ¥u']","Comparée aux molaires de B. onoideus des sables de LOr- ¥u , . 19 .","['NULL_CAT', 'ASPECT', 'ASPECT']","['FAUNA', 'LAND_COVER', 'LOCATION']","['Comparée', 'aux', 'molaires', 'de', 'B', '.', 'onoideus', 'des', 'sables', 'de', 'LOr', 'u', ',', '.', '19', '.']","['O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'B-LAND_COVER', 'O', 'B-LOCATION', 'I-LOCATION', 'O', 'O', 'O', 'O']"
"['Falun', 'Savigné']",Falun de Savigné .,"['ASPECT', 'ASPECT']","['LAND_COVER', 'LOCATION']","['Falun', 'de', 'Savigné', '.']","['B-LAND_COVER', 'O', 'B-LOCATION', 'O']"
['Grillemont'],"Collection Lecointre , à Grillemont .",['ASPECT'],['LOCATION'],"['Collection', 'Lecointre', ',', 'à', 'Grillemont', '.']","['O', 'O', 'O', 'O', 'B-LOCATION', 'O']"
['bête'],Grandeur naturelle . indiquant une bête de taille un peu moindre que celle ayant fourni la dent précédente .,['NULL_CAT'],['FAUNA'],"['Grandeur', 'naturelle', '.', 'indiquant', 'une', 'bête', 'de', 'taille', 'un', 'peu', 'moindre', 'que', 'celle', 'ayant', 'fourni', 'la', 'dent', 'précédente', '.']","['O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['biacnypus'],celui-ci cst limité à sa base par un biacnypus .,['ASPECT'],['FAUNA'],"['celui', 'ci', 'cst', 'limité', 'à', 'sa', 'base', 'par', 'un', 'biacnypus', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O']"
['Rhinocéros'],"Cette molaire présente la structure habituelle des molaires inférieures de Rhinocéros : deux collines en croissant , la posté- rieure s'attachant en dehors de l'antérieure .",['NULL_CAT'],['FAUNA'],"['Cette', 'molaire', 'présente', 'la', 'structure', 'habituelle', 'des', 'molaires', 'inférieures', 'de', 'Rhinocéros', 'deux', 'collines', 'en', 'croissant', ',', 'la', 'posté', 'rieure', ""s'attachant"", 'en', 'dehors', 'de', ""l'antérieure"", '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Uisiv'],Uisiv .,['ASPECT'],['NAT_LANDFORM'],"['Uisiv', '.']","['B-NAT_LANDFORM', 'O']"
['Lyon'],DE Lyon . — Mayet .,['ASPECT'],['LOCATION'],"['DE', 'Lyon', '.', 'Mayet', '.']","['O', 'B-LOCATION', 'O', 'O', 'O']"
"['MAMMIFÈRES FOSSILES', 'FALUNS', 'TOURAINE']","II-4 28 MAMMIFÈRES FOSSILES DES FALUNS DE LA TOURAINE Ebauche de bourrelet à la base de la couronne , sur la face externe de celle-ci .","['NULL_CAT', 'ASPECT', 'ASPECT']","['FAUNA', 'LAND_COVER', 'LOCATION']","['II', '4', '28', 'MAMMIFÈRES', 'FOSSILES', 'DES', 'FALUNS', 'DE', 'LA', 'TOURAINE', 'Ebauche', 'de', 'bourrelet', 'à', 'la', 'base', 'de', 'la', 'couronne', ',', 'sur', 'la', 'face', 'externe', 'de', 'celle', 'ci', '.']","['O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'B-LAND_COVER', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['T. hrachypus'],Elle mesure : longueur = 54 millimètres ; largeur=^28 mil- limètres . y^ Un fragment de molaire inférieure avec bourrelet externe peu marqué est également à rapporter au T. hrachypus .,['ASPECT'],['FAUNA'],"['Elle', 'mesure', 'longueur', '54', 'millimètres', ';', 'largeur', '28', 'mil', 'limètres', '.', 'y', 'Un', 'fragment', 'de', 'molaire', 'inférieure', 'avec', 'bourrelet', 'externe', 'peu', 'marqué', 'est', 'également', 'à', 'rapporter', 'au', 'T', '.', 'hrachypus', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O']"
['Bossée'],Il provient de Bossée .,['ASPECT'],['LOCATION'],"['Il', 'provient', 'de', 'Bossée', '.']","['O', 'O', 'O', 'B-LOCATION', 'O']"
"['Brachypodinés', 'Acérathérinés']",Les Brachypodinés forment un groupe bien différent du rameau précédent des Acérathérinés .,"['NULL_CAT', 'NULL_CAT']","['FAUNA', 'FAUNA']","['Les', 'Brachypodinés', 'forment', 'un', 'groupe', 'bien', 'différent', 'du', 'rameau', 'précédent', 'des', 'Acérathérinés', '.']","['O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O']"
"['Osborn', 'Rhinocéros brachycéphales']","On en sait les principaux caractères sur lesquels a insisté Osborn : Rhinocéros brachycéphales , à crâne court et large , avec corne bien développée à Fextrémité du nez , pattes élargies et raccourcies , tridactyles par réduction probablement précoce du doigt latéral .","['ASPECT', 'NULL_CAT']","['PERSON', 'FAUNA']","['On', 'en', 'sait', 'les', 'principaux', 'caractères', 'sur', 'lesquels', 'a', 'insisté', 'Osborn', 'Rhinocéros', 'brachycéphales', ',', 'à', 'crâne', 'court', 'et', 'large', ',', 'avec', 'corne', 'bien', 'développée', 'à', 'Fextrémité', 'du', 'nez', ',', 'pattes', 'élargies', 'et', 'raccourcies', ',', 'tridactyles', 'par', 'réduction', 'probablement', 'précoce', 'du', 'doigt', 'latéral', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['nos régions', ""d'origine africaine"", 'mastodontes', 'Europe occi- dentale']","Ils apparaissent dans nos régions au début du Miocène , venus par migration , peut-être d'origine africaine , corhme les mastodontes avec lesquels ils sont arrivés en Europe occi- dentale .","['NULL_CAT', 'NULL_CAT', 'NULL_CAT', 'ASPECT']","['LOCATION', 'LOCATION', 'FAUNA', 'LOCATION']","['Ils', 'apparaissent', 'dans', 'nos', 'régions', 'au', 'début', 'du', 'Miocène', ',', 'venus', 'par', 'migration', ',', 'peut', 'être', ""d'origine"", 'africaine', ',', 'corhme', 'les', 'mastodontes', 'avec', 'lesquels', 'ils', 'sont', 'arrivés', 'en', 'Europe', 'occi', 'dentale', '.']","['O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'O']"
"['Sables', 'TOrléanais']","Aux différents horizons miocènes^ , le rameau phylétique se présente ainsi : Sables de TOrléanais. . . . . .","['ASPECT', 'ASPECT']","['LAND_COVER', 'LOCATION']","['Aux', 'différents', 'horizons', 'miocènes', ',', 'le', 'rameau', 'phylétique', 'se', 'présente', 'ainsi', 'Sables', 'de', 'TOrléanais', '.', '.', '.', '.', '.', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LAND_COVER', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O']"
['Teleoceras hrachypus'],Teleoceras hrachypus .,['ASPECT'],['FAUNA'],"['Teleoceras', 'hrachypus', '.']","['B-FAUNA', 'I-FAUNA', 'O']"
['Sansan'],Sansan ...... ...,['ASPECT'],['LOCATION'],"['Sansan', '.', '.', '.', '.', '.', '.', '.', '.', '.']","['B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Teleoceras hrachypus'],Teleoceras hrachypus .,['ASPECT'],['FAUNA'],"['Teleoceras', 'hrachypus', '.']","['B-FAUNA', 'I-FAUNA', 'O']"
"['Grive-Saint-Alban', 'Teleoceras hrachypus']",La Grive-Saint-Alban Teleoceras hrachypus .,"['ASPECT', 'ASPECT']","['LOCATION', 'FAUNA']","['La', 'Grive', 'Saint', 'Alban', 'Teleoceras', 'hrachypus', '.']","['O', 'B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'B-FAUNA', 'I-FAUNA', 'O']"
['Gniiemont'],"Collée- , i -ii- ^ , i tion Lecointre , à sant pas quclqucs millimètres , se prolonge Gniiemont .",['ASPECT'],['LOCATION'],"['Collée', ',', 'i', 'ii', ',', 'i', 'tion', 'Lecointre', ',', 'à', 'sant', 'pas', 'quclqucs', 'millimètres', ',', 'se', 'prolonge', 'Gniiemont', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O']"
"['Faluns', 'Blésois', 'Touraine']",Faluns du Blésois et de la Touraine .,"['ASPECT', 'ASPECT', 'ASPECT']","['LAND_COVER', 'LOCATION', 'LOCATION']","['Faluns', 'du', 'Blésois', 'et', 'de', 'la', 'Touraine', '.']","['B-LAND_COVER', 'O', 'B-LOCATION', 'O', 'O', 'O', 'B-LOCATION', 'O']"
['Teleoceras hrachypus'],Teleoceras hrachypus .,['ASPECT'],['FAUNA'],"['Teleoceras', 'hrachypus', '.']","['B-FAUNA', 'I-FAUNA', 'O']"
['Eppelsheim'],Eppelsheim .,['ASPECT'],['LOCATION'],"['Eppelsheim', '.']","['B-LOCATION', 'O']"
['Teleoceras Goldjiissi'],Teleoceras Goldjiissi .,['ASPECT'],['FAUNA'],"['Teleoceras', 'Goldjiissi', '.']","['B-FAUNA', 'I-FAUNA', 'O']"
"['CERATORHINÉS', 'Rhinocéros ( Ceratorhinus', 'Lartet']",SoUS-FAMlLLE DES CERATORHINÉS Rhinocéros ( Ceratorhinus ) cf . simorrensis Lartet .,"['NULL_CAT', 'ASPECT', 'ASPECT']","['FAUNA', 'FAUNA', 'PERSON']","['SoUS', 'FAMlLLE', 'DES', 'CERATORHINÉS', 'Rhinocéros', 'Ceratorhinus', 'cf', '.', 'simorrensis', 'Lartet', '.']","['O', 'O', 'O', 'B-FAUNA', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'B-PERSON', 'O']"
"['faluns', 'Touraine', 'une petite espèce Rhinocéros']",Il est intéressant de retrouver dans les faluns de la Touraine une petite espèce Rhinocéros .,"['ASPECT', 'ASPECT', 'ASPECT']","['LAND_COVER', 'LOCATION', 'FAUNA']","['Il', 'est', 'intéressant', 'de', 'retrouver', 'dans', 'les', 'faluns', 'de', 'la', 'Touraine', 'une', 'petite', 'espèce', 'Rhinocéros', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LAND_COVER', 'O', 'O', 'B-LOCATION', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O']"
['Manthelan'],"Celle-ci est représentée par une M3 supérieure droite , assez usée , découverte à Manthelan .",['ASPECT'],['LOCATION'],"['Celle', 'ci', 'est', 'représentée', 'par', 'une', 'M3', 'supérieure', 'droite', ',', 'assez', 'usée', ',', 'découverte', 'à', 'Manthelan', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O']"
['animal adulte'],Cette dent provient d'un animal adulte et même assez âgé si on considère le de^^ré d'usure de la couronne .,['NULL_CAT'],['FAUNA'],"['Cette', 'dent', 'provient', ""d'un"", 'animal', 'adulte', 'et', 'même', 'assez', 'âgé', 'si', 'on', 'considère', 'le', 'de', 'ré', ""d'usure"", 'de', 'la', 'couronne', '.']","['O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
